,County,Year,Arth_Mean,First_Max_Date,Second_Max_Date,Third_Max_Date
0,Alameda,2012,0.37755700000000003,2012-01-13 08:00,2012-01-10 08:00,2012-01-14 04:00
1,Alameda,2013,0.39008025,2013-12-17 10:00,2013-12-17 08:00,2013-12-17 07:00
2,Alameda,2014,0.4114156666666667,2014-12-07 17:00,2014-11-23 22:00,2014-11-23 23:00
3,Alameda,2015,0.42858233333333334,2015-10-20 09:00,2015-11-22 17:00,2015-10-15 15:00
4,Alameda,2016,0.45860575000000003,2016-12-30 02:00,2016-12-30 08:00,2016-12-19 10:00
5,Alameda,2017,0.519829,2017-12-31 01:00,2017-12-31 02:00,2017-12-31 03:00
6,Alameda,2018,0.4974201,2018-11-16 22:00,2018-11-16 23:00,2018-11-17 00:00
7,Alameda,2019,0.4418654,2019-12-20 20:00,2019-12-20 21:00,2019-12-31 21:00
8,Alameda,2020,0.4635803,2020-12-05 03:00,2020-12-05 02:00,2020-12-05 01:00
9,Alameda,2021,0.4135398,2021-11-21 02:00,2021-11-21 03:00,2021-11-28 22:00
10,Alameda,2022,0.392174625,2022-11-26 03:00,2022-11-25 22:00,2022-11-26 01:00
11,Alameda,2023,0.40857200000000005,2023-12-22 00:00,2023-12-22 01:00,2023-12-22 02:00
12,Butte,2012,0.31560924999999995,2012-11-24 04:00,2012-12-27 23:00,2012-12-28 00:00
13,Butte,2013,0.2761125,2013-01-17 09:00,2013-01-22 08:00,2013-12-31 23:00
14,Butte,2014,0.232099,2014-01-01 06:00,2014-01-01 07:00,2014-01-01 08:00
15,Butte,2015,0.23645850000000002,2015-01-08 00:00,2015-01-08 01:00,2015-01-08 02:00
16,Butte,2016,0.24346250000000003,2016-01-04 04:00,2016-01-04 05:00,2016-01-02 02:00
17,Butte,2017,0.255622,2017-12-10 02:00,2017-12-31 03:00,2017-12-31 04:00
18,Butte,2018,0.300283,2018-11-09 21:00,2018-11-09 22:00,2018-11-09 23:00
19,Butte,2019,0.22909200000000002,2019-11-19 07:00,2019-01-04 03:00,2019-01-04 04:00
20,Butte,2020,0.2831845,2020-09-13 16:00,2020-09-13 15:00,2020-09-13 17:00
21,Butte,2021,0.223466,2021-08-08 05:00,2021-08-08 06:00,2021-08-08 04:00
22,Butte,2022,0.2339025,2022-12-17 02:00,2022-12-20 22:00,2022-12-18 07:00
23,Butte,2023,0.22801100000000005,2023-12-16 04:00,2023-12-16 02:00,2023-12-16 03:00
24,Contra Costa,2012,0.31138883333333334,2012-01-12 20:00,2012-12-04 08:00,2012-11-26 22:00
25,Contra Costa,2013,0.31896283333333336,2013-01-29 08:00,2013-12-30 21:00,2013-01-29 10:00
26,Contra Costa,2014,0.35269016666666664,2014-11-17 00:00,2014-11-17 01:00,2014-12-08 08:00
27,Contra Costa,2015,0.3829306666666667,2015-12-17 03:00,2015-12-17 04:00,2015-12-17 05:00
28,Contra Costa,2016,0.32452200000000003,2016-12-22 00:00,2016-12-27 21:00,2016-12-22 02:00
